collected_date,keyword_group,period,ratio
2026-07-05,건강검진,2026-06-06,16.23441
2026-07-05,건강검진,2026-06-07,15.57773
2026-07-05,건강검진,2026-06-08,27.05583
2026-07-05,건강검진,2026-06-09,25.66535
2026-07-05,건강검진,2026-06-10,24.61929
2026-07-05,건강검진,2026-06-11,24.80323
2026-07-05,건강검진,2026-06-12,24.60651
2026-07-05,건강검진,2026-06-13,19.04991
2026-07-05,건강검진,2026-06-14,16.04811
2026-07-05,건강검진,2026-06-15,26.5371
2026-07-05,건강검진,2026-06-16,25.87841
2026-07-05,건강검진,2026-06-17,25.28533
2026-07-05,건강검진,2026-06-18,25.14235
2026-07-05,건강검진,2026-06-19,24.43746
2026-07-05,건강검진,2026-06-20,17.81448
2026-07-05,건강검진,2026-06-21,16.23629
2026-07-05,건강검진,2026-06-22,27.72337
2026-07-05,건강검진,2026-06-23,26.29296
2026-07-05,건강검진,2026-06-24,26.10828
2026-07-05,건강검진,2026-06-25,25.62631
2026-07-05,건강검진,2026-06-26,24.44528
2026-07-05,건강검진,2026-06-27,17.64424
2026-07-05,건강검진,2026-06-28,16.41345
2026-07-05,건강검진,2026-06-29,27.29052
2026-07-05,건강검진,2026-06-30,26.48186
2026-07-05,건강검진,2026-07-01,25.1396
2026-07-05,건강검진,2026-07-02,25.18651
2026-07-05,건강검진,2026-07-03,26.1644
2026-07-05,건강검진,2026-07-04,18.196
2026-07-05,다이어트,2026-06-06,13.80239
2026-07-05,다이어트,2026-06-07,13.59028
2026-07-05,다이어트,2026-06-08,11.16571
2026-07-05,다이어트,2026-06-09,12.61089
2026-07-05,다이어트,2026-06-10,12.54442
2026-07-05,다이어트,2026-06-11,11.87146
2026-07-05,다이어트,2026-06-12,10.50817
2026-07-05,다이어트,2026-06-13,11.69865
2026-07-05,다이어트,2026-06-14,13.13574
2026-07-05,다이어트,2026-06-15,11.11111
2026-07-05,다이어트,2026-06-16,10.78741
2026-07-05,다이어트,2026-06-17,10.8198
2026-07-05,다이어트,2026-06-18,11.09968
2026-07-05,다이어트,2026-06-19,11.2751
2026-07-05,다이어트,2026-06-20,11.82344
2026-07-05,다이어트,2026-06-21,12.6954
2026-07-05,다이어트,2026-06-22,10.32011
2026-07-05,다이어트,2026-06-23,10.20131
2026-07-05,다이어트,2026-06-24,10.18046
2026-07-05,다이어트,2026-06-25,10.55283
2026-07-05,다이어트,2026-06-26,9.69057
2026-07-05,다이어트,2026-06-27,11.29079
2026-07-05,다이어트,2026-06-28,11.50434
2026-07-05,다이어트,2026-06-29,10.31192
2026-07-05,다이어트,2026-06-30,9.83648
2026-07-05,다이어트,2026-07-01,9.32741
2026-07-05,다이어트,2026-07-02,9.37958
2026-07-05,다이어트,2026-07-03,9.73247
2026-07-05,다이어트,2026-07-04,10.86438
2026-07-05,운동·헬스,2026-06-06,19.85103
2026-07-05,운동·헬스,2026-06-07,18.11233
2026-07-05,운동·헬스,2026-06-08,14.56989
2026-07-05,운동·헬스,2026-06-09,14.1757
2026-07-05,운동·헬스,2026-06-10,14.89848
2026-07-05,운동·헬스,2026-06-11,13.81643
2026-07-05,운동·헬스,2026-06-12,13.78354
2026-07-05,운동·헬스,2026-06-13,16.66027
2026-07-05,운동·헬스,2026-06-14,17.48282
2026-07-05,운동·헬스,2026-06-15,14.06307
2026-07-05,운동·헬스,2026-06-16,13.08772
2026-07-05,운동·헬스,2026-06-17,13.40247
2026-07-05,운동·헬스,2026-06-18,13.94663
2026-07-05,운동·헬스,2026-06-19,13.68658
2026-07-05,운동·헬스,2026-06-20,17.72117
2026-07-05,운동·헬스,2026-06-21,18.63719
2026-07-05,운동·헬스,2026-06-22,14.62613
2026-07-05,운동·헬스,2026-06-23,14.66761
2026-07-05,운동·헬스,2026-06-24,12.96587
2026-07-05,운동·헬스,2026-06-25,14.10777
2026-07-05,운동·헬스,2026-06-26,14.11321
2026-07-05,운동·헬스,2026-06-27,17.88345
2026-07-05,운동·헬스,2026-06-28,17.80979
2026-07-05,운동·헬스,2026-06-29,15.66972
2026-07-05,운동·헬스,2026-06-30,14.35232
2026-07-05,운동·헬스,2026-07-01,14.76523
2026-07-05,운동·헬스,2026-07-02,14.37225
2026-07-05,운동·헬스,2026-07-03,14.53909
2026-07-05,운동·헬스,2026-07-04,17.33346
2026-07-05,영양·건강기능식품,2026-06-06,39.97129
2026-07-05,영양·건강기능식품,2026-06-07,42.15482
2026-07-05,영양·건강기능식품,2026-06-08,37.4519
2026-07-05,영양·건강기능식품,2026-06-09,37.75875
2026-07-05,영양·건강기능식품,2026-06-10,37.74112
2026-07-05,영양·건강기능식품,2026-06-11,39.11403
2026-07-05,영양·건강기능식품,2026-06-12,40.03898
2026-07-05,영양·건강기능식품,2026-06-13,41.19962
2026-07-05,영양·건강기능식품,2026-06-14,42.23368
2026-07-05,영양·건강기능식품,2026-06-15,38.54664
2026-07-05,영양·건강기능식품,2026-06-16,40.4133
2026-07-05,영양·건강기능식품,2026-06-17,40.65741
2026-07-05,영양·건강기능식품,2026-06-18,39.69267
2026-07-05,영양·건강기능식품,2026-06-19,39.46286
2026-07-05,영양·건강기능식품,2026-06-20,40.43487
2026-07-05,영양·건강기능식품,2026-06-21,41.95527
2026-07-05,영양·건강기능식품,2026-06-22,38.59293
2026-07-05,영양·건강기능식품,2026-06-23,39.25821
2026-07-05,영양·건강기능식품,2026-06-24,40.66955
2026-07-05,영양·건강기능식품,2026-06-25,39.88804
2026-07-05,영양·건강기능식품,2026-06-26,42.31698
2026-07-05,영양·건강기능식품,2026-06-27,42.22563
2026-07-05,영양·건강기능식품,2026-06-28,43.75165
2026-07-05,영양·건강기능식품,2026-06-29,37.70642
2026-07-05,영양·건강기능식품,2026-06-30,40.59147
2026-07-05,영양·건강기능식품,2026-07-01,41.54822
2026-07-05,영양·건강기능식품,2026-07-02,41.99452
2026-07-05,영양·건강기능식품,2026-07-03,39.89865
2026-07-05,영양·건강기능식품,2026-07-04,43.36576
2026-07-05,정신건강,2026-06-06,10.14089
2026-07-05,정신건강,2026-06-07,10.56485
2026-07-05,정신건강,2026-06-08,9.75667
2026-07-05,정신건강,2026-06-09,9.7893
2026-07-05,정신건강,2026-06-10,10.1967
2026-07-05,정신건강,2026-06-11,10.39485
2026-07-05,정신건강,2026-06-12,11.06281
2026-07-05,정신건강,2026-06-13,11.39155
2026-07-05,정신건강,2026-06-14,11.09966
2026-07-05,정신건강,2026-06-15,9.74208
2026-07-05,정신건강,2026-06-16,9.83316
2026-07-05,정신건강,2026-06-17,9.835
2026-07-05,정신건강,2026-06-18,10.11868
2026-07-05,정신건강,2026-06-19,11.138
2026-07-05,정신건강,2026-06-20,12.20604
2026-07-05,정신건강,2026-06-21,10.47586
2026-07-05,정신건강,2026-06-22,8.73746
2026-07-05,정신건강,2026-06-23,9.57991
2026-07-05,정신건강,2026-06-24,10.07584
2026-07-05,정신건강,2026-06-25,9.82505
2026-07-05,정신건강,2026-06-26,9.43396
2026-07-05,정신건강,2026-06-27,10.95589
2026-07-05,정신건강,2026-06-28,10.52077
2026-07-05,정신건강,2026-06-29,9.02141
